checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit-risk,sex,marital_status,age_cat
0<=X<200,48,delayed previously,business,6681,no known savings,1<=X<4,4,none,4,no known property,38,none,for free,1,skilled,2,yes,yes,good,male,single,aged
0<=X<200,12,existing paid,new car,888,<100,>=7,4,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad,male,single,aged
0<=X<200,18,delayed previously,furniture/equipment,4297,<100,>=7,4,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,div/sep,aged
>=200,30,delayed previously,business,1908,<100,>=7,4,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
no checking,24,existing paid,radio/tv,3235,500<=X<1000,>=7,3,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,div/sep,aged
0<=X<200,60,existing paid,new car,7408,100<=X<500,<1,4,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,female,div/sep,young
<0,24,existing paid,business,6568,<100,1<=X<4,2,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,good,male,mar/wid,young
<0,24,all paid,used car,3632,<100,1<=X<4,1,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,good,female,div/sep,young
no checking,54,no credits/all paid,used car,9436,no known savings,1<=X<4,2,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,good,male,single,aged
<0,60,delayed previously,business,6836,<100,>=7,3,none,4,no known property,63,none,own,2,skilled,1,yes,yes,bad,male,single,aged
>=200,21,critical/other existing credit,education,2319,<100,<1,2,none,1,car,33,none,rent,1,skilled,1,none,yes,bad,male,div/sep,aged
no checking,6,existing paid,used car,1236,500<=X<1000,1<=X<4,2,none,4,life insurance,50,none,rent,1,skilled,1,none,yes,good,male,single,aged
no checking,21,no credits/all paid,new car,5003,no known savings,1<=X<4,1,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,bad,female,div/sep,aged
no checking,12,existing paid,radio/tv,886,no known savings,1<=X<4,4,none,2,car,21,none,own,1,skilled,1,none,yes,good,female,div/sep,young
<0,24,existing paid,new car,1442,<100,4<=X<7,4,none,4,car,23,none,rent,2,skilled,1,none,yes,bad,female,div/sep,young
no checking,6,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,1,none,2,car,32,none,own,1,skilled,1,yes,yes,good,male,single,aged
<0,24,existing paid,furniture/equipment,2359,100<=X<500,unemployed,1,none,1,life insurance,33,none,own,1,skilled,1,none,yes,bad,male,div/sep,aged
<0,24,existing paid,furniture/equipment,2996,no known savings,1<=X<4,2,none,4,car,20,none,own,1,skilled,1,none,yes,bad,male,mar/wid,young
no checking,18,critical/other existing credit,furniture/equipment,3780,<100,<1,3,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,male,div/sep,aged
no checking,27,existing paid,repairs,5190,no known savings,>=7,4,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good,male,single,aged
0<=X<200,36,existing paid,radio/tv,4795,<100,<1,4,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,female,div/sep,aged
<0,12,all paid,new car,697,<100,<1,4,none,2,car,46,bank,own,2,skilled,1,yes,yes,bad,male,single,aged
no checking,18,no credits/all paid,business,4165,<100,1<=X<4,2,none,2,car,36,stores,own,2,skilled,2,none,yes,bad,male,single,aged
<0,14,existing paid,new car,3973,<100,unemployed,1,none,4,no known property,22,none,for free,1,skilled,1,none,yes,good,male,single,young
no checking,18,critical/other existing credit,education,1864,100<=X<500,1<=X<4,4,none,2,real estate,30,none,own,2,skilled,1,none,yes,bad,female,div/sep,aged
>=200,6,critical/other existing credit,education,1047,<100,1<=X<4,2,none,4,life insurance,50,none,own,1,unskilled resident,1,none,yes,good,female,div/sep,aged
no checking,18,existing paid,radio/tv,433,<100,unemployed,3,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,bad,female,div/sep,young
0<=X<200,36,existing paid,education,3711,no known savings,1<=X<4,2,none,2,car,27,none,own,1,skilled,1,none,yes,good,male,mar/wid,aged
0<=X<200,9,existing paid,radio/tv,1206,<100,>=7,4,none,4,real estate,25,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
no checking,6,existing paid,furniture/equipment,1543,>=1000,1<=X<4,4,none,2,real estate,33,none,own,1,skilled,1,none,yes,good,male,div/sep,aged
no checking,4,critical/other existing credit,new car,3380,<100,4<=X<7,1,none,1,real estate,37,none,own,1,skilled,2,none,yes,good,female,div/sep,aged
>=200,24,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,3,none,3,car,57,none,own,1,unskilled resident,1,none,yes,good,female,div/sep,aged
no checking,12,existing paid,radio/tv,2073,100<=X<500,1<=X<4,4,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
<0,21,existing paid,radio/tv,2606,<100,<1,4,none,4,life insurance,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,female,div/sep,aged
no checking,12,critical/other existing credit,education,2096,<100,4<=X<7,2,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,good,male,single,aged
no checking,12,critical/other existing credit,new car,1255,<100,>=7,4,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,good,male,single,aged
no checking,9,existing paid,domestic appliance,1236,<100,<1,1,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good,female,div/sep,young
no checking,24,existing paid,radio/tv,1278,<100,>=7,4,none,1,real estate,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
<0,6,existing paid,new car,1374,no known savings,unemployed,4,none,3,life insurance,75,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,female,div/sep,aged
>=200,10,existing paid,new car,3949,<100,<1,1,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,good,male,single,aged
no checking,12,existing paid,new car,2390,no known savings,>=7,4,none,3,car,50,none,own,1,skilled,1,yes,yes,good,male,single,aged
0<=X<200,24,existing paid,new car,1201,<100,<1,4,none,1,life insurance,26,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,15,critical/other existing credit,furniture/equipment,2788,<100,4<=X<7,2,co applicant,3,car,24,bank,own,2,skilled,1,none,yes,good,female,div/sep,young
no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,good,male,single,aged
<0,24,existing paid,furniture/equipment,4020,<100,1<=X<4,2,none,2,car,27,stores,own,1,skilled,1,none,yes,good,male,single,aged
no checking,9,existing paid,new car,2507,500<=X<1000,>=7,2,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,good,male,single,aged
no checking,24,existing paid,radio/tv,2397,500<=X<1000,>=7,3,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad,male,single,aged
0<=X<200,27,existing paid,business,3915,<100,1<=X<4,4,none,2,car,36,none,own,1,skilled,2,yes,yes,bad,male,single,aged
no checking,48,critical/other existing credit,used car,11590,100<=X<500,1<=X<4,2,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad,female,div/sep,young
<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good,male,single,aged
no checking,12,critical/other existing credit,new car,1495,<100,>=7,4,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,good,male,single,aged
no checking,24,existing paid,new car,2255,no known savings,<1,4,none,1,life insurance,54,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,9,existing paid,new car,1549,no known savings,<1,4,none,2,real estate,35,none,own,1,unemp/unskilled non res,1,none,yes,good,male,single,aged
no checking,30,existing paid,used car,4811,no known savings,4<=X<7,2,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,good,female,div/sep,young
0<=X<200,14,existing paid,business,1410,500<=X<1000,>=7,1,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good,male,mar/wid,aged
no checking,5,existing paid,business,3448,<100,4<=X<7,1,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,good,male,single,aged
0<=X<200,11,delayed previously,radio/tv,4771,<100,4<=X<7,2,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good,male,single,aged
<0,10,existing paid,radio/tv,2315,<100,>=7,3,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,good,male,single,aged
<0,48,existing paid,used car,4788,<100,4<=X<7,4,none,3,life insurance,26,none,own,1,skilled,2,none,yes,good,male,single,aged
no checking,18,existing paid,business,1568,100<=X<500,1<=X<4,3,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,good,female,div/sep,young
no checking,15,all paid,radio/tv,1569,100<=X<500,>=7,4,none,4,car,34,bank,own,1,unskilled resident,2,none,yes,good,male,single,aged
<0,40,critical/other existing credit,education,5998,<100,1<=X<4,4,none,3,no known property,27,bank,own,1,skilled,1,yes,yes,bad,male,single,aged
no checking,18,critical/other existing credit,radio/tv,1169,no known savings,1<=X<4,4,none,3,life insurance,29,none,own,2,skilled,1,yes,yes,good,male,single,aged
0<=X<200,12,existing paid,new car,1223,<100,>=7,1,none,1,real estate,46,none,rent,2,skilled,1,none,yes,bad,male,div/sep,aged
<0,18,existing paid,furniture/equipment,2659,>=1000,1<=X<4,4,none,2,car,28,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,6,critical/other existing credit,radio/tv,700,no known savings,>=7,4,none,4,no known property,36,none,for free,2,skilled,1,none,yes,good,male,single,aged
no checking,10,existing paid,used car,2848,100<=X<500,1<=X<4,1,co applicant,2,real estate,32,none,own,1,skilled,2,none,yes,good,male,single,aged
<0,9,existing paid,radio/tv,1366,<100,<1,3,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,bad,female,div/sep,young
no checking,36,existing paid,education,9055,no known savings,1<=X<4,2,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,good,male,single,aged
<0,24,existing paid,radio/tv,1987,<100,1<=X<4,2,none,4,real estate,21,none,rent,1,unskilled resident,2,none,yes,bad,male,single,young
<0,24,existing paid,used car,2924,<100,1<=X<4,3,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,good,male,single,aged
0<=X<200,18,existing paid,business,2622,100<=X<500,1<=X<4,4,none,4,car,34,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,36,critical/other existing credit,business,6304,no known savings,>=7,4,none,4,real estate,36,none,own,2,skilled,1,none,yes,good,male,single,aged
no checking,36,delayed previously,radio/tv,4463,<100,1<=X<4,4,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
no checking,36,existing paid,business,7409,no known savings,>=7,3,none,2,life insurance,37,none,own,2,skilled,1,none,yes,good,male,single,aged
no checking,24,delayed previously,new car,717,no known savings,>=7,4,none,4,car,54,none,own,2,skilled,1,yes,yes,good,male,mar/wid,aged
<0,20,existing paid,furniture/equipment,2212,no known savings,4<=X<7,4,none,4,car,39,none,own,1,skilled,1,yes,yes,good,male,single,aged
<0,18,all paid,furniture/equipment,1553,<100,1<=X<4,4,none,3,car,44,bank,own,1,skilled,1,none,yes,bad,male,single,aged
0<=X<200,18,existing paid,used car,12976,<100,unemployed,3,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad,female,div/sep,aged
no checking,12,critical/other existing credit,radio/tv,1934,<100,>=7,2,none,2,no known property,26,none,own,2,skilled,1,none,yes,good,male,single,aged
<0,33,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,1,none,4,car,23,none,own,2,skilled,1,none,yes,bad,female,div/sep,young
<0,16,critical/other existing credit,new car,2625,<100,>=7,2,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,bad,male,single,aged
<0,6,critical/other existing credit,new car,666,>=1000,4<=X<7,3,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,good,female,div/sep,aged
no checking,24,existing paid,used car,3488,100<=X<500,4<=X<7,3,none,4,car,23,none,own,1,skilled,1,none,yes,good,female,div/sep,young
0<=X<200,30,critical/other existing credit,new car,5234,<100,unemployed,4,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad,male,mar/wid,aged
no checking,6,critical/other existing credit,radio/tv,1382,<100,1<=X<4,1,none,1,car,28,none,own,2,skilled,1,yes,yes,good,female,div/sep,aged
no checking,36,existing paid,furniture/equipment,3349,<100,1<=X<4,4,none,2,car,28,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,female,div/sep,aged
no checking,15,existing paid,radio/tv,1213,500<=X<1000,>=7,4,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good,male,single,aged
0<=X<200,12,existing paid,new car,836,100<=X<500,<1,4,none,2,life insurance,23,bank,own,1,unskilled resident,1,none,yes,bad,female,div/sep,young
<0,12,existing paid,furniture/equipment,1289,<100,1<=X<4,4,guarantor,1,life insurance,21,none,own,1,unskilled resident,1,none,yes,good,male,single,young
no checking,12,critical/other existing credit,furniture/equipment,1258,<100,<1,2,none,4,life insurance,22,none,rent,2,unskilled resident,1,none,yes,good,female,div/sep,young
<0,30,existing paid,radio/tv,2522,<100,>=7,1,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,good,male,single,aged
no checking,12,existing paid,business,1076,<100,1<=X<4,2,none,2,real estate,26,none,own,1,skilled,1,yes,no,good,male,mar/wid,aged
no checking,36,existing paid,radio/tv,3835,no known savings,>=7,2,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,good,female,div/sep,aged
no checking,18,existing paid,radio/tv,1505,<100,1<=X<4,4,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
<0,30,existing paid,furniture/equipment,2406,<100,4<=X<7,4,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad,female,div/sep,young
0<=X<200,15,delayed previously,repairs,1512,>=1000,1<=X<4,3,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,bad,male,mar/wid,aged
<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
0<=X<200,18,critical/other existing credit,business,3590,<100,unemployed,3,none,3,car,40,none,own,3,unemp/unskilled non res,2,yes,yes,good,male,mar/wid,aged
<0,24,all paid,furniture/equipment,3349,500<=X<1000,<1,4,none,4,no known property,30,none,for free,1,skilled,2,yes,yes,bad,male,single,aged
<0,18,existing paid,used car,7511,no known savings,>=7,1,none,4,life insurance,51,none,for free,1,skilled,2,yes,yes,bad,male,single,aged
<0,36,existing paid,used car,5493,<100,>=7,2,none,4,no known property,42,none,for free,1,skilled,2,none,yes,good,male,single,aged
no checking,18,existing paid,business,1950,<100,4<=X<7,4,none,1,car,34,stores,own,2,skilled,1,yes,yes,good,male,single,aged
>=200,12,delayed previously,new car,2247,<100,1<=X<4,2,none,2,car,36,stores,own,2,skilled,1,yes,yes,good,female,div/sep,aged
no checking,33,delayed previously,business,2764,<100,1<=X<4,2,none,2,car,26,none,own,2,skilled,1,yes,yes,good,female,div/sep,aged
0<=X<200,30,delayed previously,radio/tv,1919,100<=X<500,<1,4,none,3,no known property,30,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad,male,single,aged
no checking,9,existing paid,furniture/equipment,1313,<100,>=7,1,none,4,car,20,none,own,1,skilled,1,none,yes,good,male,single,young
0<=X<200,36,existing paid,used car,6948,<100,1<=X<4,2,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
<0,12,existing paid,furniture/equipment,1282,<100,1<=X<4,2,none,4,car,20,none,rent,1,skilled,1,none,yes,bad,female,div/sep,young
no checking,24,delayed previously,new car,2032,<100,>=7,4,none,4,no known property,60,none,for free,2,skilled,1,yes,yes,good,male,single,aged
no checking,12,existing paid,new car,1884,<100,>=7,4,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
<0,30,existing paid,furniture/equipment,3622,>=1000,>=7,4,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,good,female,div/sep,aged
0<=X<200,12,critical/other existing credit,new car,958,<100,4<=X<7,2,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,good,male,single,aged
no checking,36,critical/other existing credit,used car,5711,>=1000,>=7,4,none,2,car,38,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,24,existing paid,radio/tv,3621,100<=X<500,>=7,2,none,4,car,31,none,own,2,skilled,1,none,yes,bad,male,single,aged
<0,24,no credits/all paid,furniture/equipment,4110,<100,>=7,3,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad,male,single,young
0<=X<200,12,existing paid,radio/tv,2930,<100,4<=X<7,2,none,1,real estate,27,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
<0,12,existing paid,radio/tv,1498,<100,1<=X<4,4,none,1,car,23,bank,own,1,skilled,1,none,yes,good,female,div/sep,young
no checking,24,critical/other existing credit,radio/tv,2578,>=1000,>=7,2,none,2,car,34,none,own,1,skilled,1,none,yes,good,male,single,aged
<0,24,all paid,other,1358,no known savings,>=7,4,none,3,car,40,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
0<=X<200,36,existing paid,education,2273,<100,4<=X<7,3,none,1,car,32,none,own,2,skilled,2,none,yes,good,male,single,aged
0<=X<200,12,critical/other existing credit,new car,3124,<100,<1,1,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,good,male,single,aged
0<=X<200,12,no credits/all paid,furniture/equipment,2969,<100,<1,4,none,3,life insurance,25,none,rent,2,skilled,1,none,yes,bad,female,div/sep,aged
>=200,12,existing paid,furniture/equipment,1424,no known savings,>=7,3,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,female,div/sep,aged
no checking,24,existing paid,used car,2670,<100,>=7,4,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,9,existing paid,radio/tv,1478,<100,4<=X<7,4,none,2,car,22,none,own,1,skilled,1,none,yes,bad,male,single,young
no checking,18,critical/other existing credit,used car,3229,no known savings,unemployed,2,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
0<=X<200,48,all paid,business,6416,<100,>=7,4,none,3,no known property,59,none,rent,1,skilled,1,none,yes,bad,female,div/sep,aged
<0,27,no credits/all paid,business,5293,<100,unemployed,2,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad,male,single,aged
0<=X<200,30,existing paid,furniture/equipment,3832,<100,<1,2,none,1,life insurance,22,none,own,1,skilled,1,none,yes,good,male,mar/wid,young
<0,36,critical/other existing credit,furniture/equipment,5371,<100,1<=X<4,3,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good,male,single,aged
>=200,24,critical/other existing credit,new car,1344,no known savings,4<=X<7,4,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,bad,male,single,aged
no checking,42,critical/other existing credit,furniture/equipment,4042,500<=X<1000,1<=X<4,4,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good,male,single,aged
<0,18,existing paid,radio/tv,3509,<100,4<=X<7,4,guarantor,1,real estate,25,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
>=200,15,critical/other existing credit,used car,2360,500<=X<1000,1<=X<4,2,none,2,car,36,none,own,1,skilled,1,yes,yes,good,male,single,aged
0<=X<200,18,existing paid,radio/tv,3213,500<=X<1000,<1,1,none,3,real estate,25,none,rent,1,skilled,1,none,yes,good,male,mar/wid,aged
0<=X<200,6,delayed previously,new car,1209,<100,unemployed,4,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
<0,6,all paid,education,1198,<100,>=7,4,none,4,no known property,35,none,for free,1,skilled,1,none,yes,bad,female,div/sep,aged
no checking,18,existing paid,furniture/equipment,1984,<100,1<=X<4,4,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good,male,single,aged
0<=X<200,30,delayed previously,business,2503,100<=X<500,>=7,4,none,2,life insurance,41,stores,own,2,skilled,1,none,yes,good,male,single,aged
no checking,24,existing paid,furniture/equipment,5511,100<=X<500,1<=X<4,4,none,1,car,25,stores,own,1,skilled,1,none,yes,good,male,single,aged
<0,12,existing paid,new car,1228,<100,1<=X<4,4,none,2,real estate,24,none,own,1,unskilled resident,1,none,yes,bad,female,div/sep,young
no checking,9,existing paid,education,3832,no known savings,>=7,1,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,good,male,single,aged
<0,6,critical/other existing credit,radio/tv,1169,no known savings,>=7,4,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good,male,single,aged
<0,12,existing paid,furniture/equipment,708,<100,1<=X<4,2,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,good,male,single,aged
0<=X<200,48,existing paid,new car,6560,100<=X<500,4<=X<7,3,none,2,life insurance,24,none,own,1,skilled,1,none,yes,bad,male,single,young
no checking,24,existing paid,radio/tv,1552,<100,4<=X<7,3,none,1,car,32,bank,own,1,skilled,2,none,yes,good,male,single,aged
<0,24,critical/other existing credit,business,1382,100<=X<500,4<=X<7,4,none,1,real estate,26,none,own,2,skilled,1,yes,yes,good,male,single,aged
no checking,12,delayed previously,used car,1503,<100,1<=X<4,4,none,4,real estate,41,none,rent,1,skilled,1,none,yes,good,male,mar/wid,aged
>=200,24,existing paid,radio/tv,5152,<100,4<=X<7,4,none,2,car,25,bank,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,18,delayed previously,new car,2899,no known savings,>=7,4,none,4,car,43,none,own,1,skilled,2,none,yes,good,male,single,aged
0<=X<200,24,delayed previously,furniture/equipment,2064,<100,unemployed,3,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,female,div/sep,aged
<0,12,critical/other existing credit,new car,2121,<100,1<=X<4,4,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good,male,single,aged
no checking,9,critical/other existing credit,furniture/equipment,2406,<100,unemployed,2,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,male,single,aged
no checking,15,existing paid,new car,3186,>=1000,4<=X<7,2,none,3,car,20,none,rent,1,skilled,1,none,yes,good,female,div/sep,young
<0,48,existing paid,radio/tv,6999,<100,4<=X<7,1,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad,male,mar/wid,aged
no checking,15,existing paid,radio/tv,1386,no known savings,1<=X<4,4,none,2,real estate,40,none,rent,1,skilled,1,yes,yes,good,male,mar/wid,aged
no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,none,4,real estate,56,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,24,critical/other existing credit,used car,6842,no known savings,1<=X<4,2,none,4,life insurance,46,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,male,single,aged
0<=X<200,36,delayed previously,business,4455,<100,1<=X<4,2,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,male,div/sep,aged
<0,30,existing paid,repairs,11998,<100,<1,1,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,bad,male,div/sep,aged
no checking,36,delayed previously,used car,8947,no known savings,4<=X<7,3,none,2,car,31,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good,male,single,aged
no checking,36,existing paid,radio/tv,2394,no known savings,1<=X<4,4,none,4,car,25,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
0<=X<200,36,existing paid,used car,9398,<100,<1,1,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,mar/wid,aged
<0,36,delayed previously,education,6887,<100,1<=X<4,4,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad,male,single,aged
no checking,6,existing paid,new car,672,<100,unemployed,1,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,good,female,div/sep,aged
0<=X<200,12,existing paid,furniture/equipment,2762,no known savings,>=7,1,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad,female,div/sep,aged
no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,>=7,2,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,good,male,single,aged
no checking,21,critical/other existing credit,furniture/equipment,2288,<100,<1,4,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good,female,div/sep,young
no checking,21,delayed previously,furniture/equipment,1591,100<=X<500,4<=X<7,4,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,male,single,aged
0<=X<200,18,critical/other existing credit,new car,1056,<100,>=7,3,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,bad,male,single,aged
no checking,12,critical/other existing credit,radio/tv,1240,no known savings,>=7,4,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good,female,div/sep,aged
no checking,36,critical/other existing credit,used car,11054,no known savings,1<=X<4,4,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,36,existing paid,new car,909,500<=X<1000,>=7,4,none,4,life insurance,36,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,7,existing paid,radio/tv,2415,<100,1<=X<4,3,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,24,critical/other existing credit,radio/tv,2223,100<=X<500,>=7,4,none,4,life insurance,52,bank,own,2,skilled,1,none,yes,good,male,single,aged
no checking,6,existing paid,radio/tv,2108,<100,4<=X<7,2,none,2,real estate,29,none,rent,1,skilled,1,none,yes,good,male,mar/wid,aged
0<=X<200,15,critical/other existing credit,business,2326,500<=X<1000,1<=X<4,2,none,4,car,27,bank,own,1,skilled,1,none,yes,good,male,single,aged
no checking,15,critical/other existing credit,radio/tv,1471,<100,1<=X<4,4,none,4,no known property,35,none,for free,2,skilled,1,yes,yes,good,male,single,aged
0<=X<200,24,critical/other existing credit,business,1935,<100,>=7,4,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad,male,div/sep,aged
no checking,15,existing paid,new car,5324,500<=X<1000,>=7,1,none,4,no known property,35,none,for free,1,skilled,1,none,yes,good,female,div/sep,aged
>=200,6,existing paid,new car,709,>=1000,<1,2,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good,male,mar/wid,aged
0<=X<200,8,existing paid,radio/tv,1414,<100,1<=X<4,4,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,good,male,single,aged
no checking,24,existing paid,furniture/equipment,2835,500<=X<1000,>=7,3,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good,male,single,aged
<0,13,critical/other existing credit,business,1797,<100,<1,3,none,1,life insurance,28,bank,own,2,unskilled resident,1,none,yes,good,male,single,aged
0<=X<200,12,existing paid,business,1037,100<=X<500,4<=X<7,3,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,good,male,single,aged
0<=X<200,42,critical/other existing credit,business,5954,<100,4<=X<7,2,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,good,female,div/sep,aged
no checking,36,delayed previously,radio/tv,4454,<100,1<=X<4,4,none,4,real estate,34,none,own,2,skilled,1,none,yes,good,female,div/sep,aged
<0,48,existing paid,domestic appliance,3051,<100,1<=X<4,3,none,4,car,54,none,own,1,skilled,1,none,yes,bad,male,single,aged
no checking,12,critical/other existing credit,radio/tv,1291,<100,1<=X<4,4,none,2,life insurance,35,none,own,2,skilled,1,none,yes,good,female,div/sep,aged
0<=X<200,48,all paid,business,3566,100<=X<500,4<=X<7,4,none,2,car,30,none,own,1,skilled,1,none,yes,good,male,single,aged
